stage,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Macrophage
24hpf,0,0,0,0,28.6
21Day,2.68,0,0,1.34,0
22Month,1.09,0.55,0.55,0.55,0
