stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,8.17,0,12.26,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,89.9,0,0,0,12.26,257.44,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,3.21,0,2.14,0,19.26,0,0,0,0,1.07,0,0,0,0,0,0,6.42,0,36.37,0,0,0,48.14,12.84,1.07,0,26.74,0,0,3.21,1.07,1.07,0,0,0
21Day,4.02,1.34,0,22.76,1.34,30.79,0,5.35,0,0,0,0,0,0,1.34,0,2.68,2.68,2.68,41.49,0,1.34,0,20.08,8.03,0,0,14.72,1.34,0,2.68,1.34,1.34,0,0,0
3Month,0.64,3.84,0.64,41.91,0.32,0,1.28,1.28,0.64,3.2,3.52,0,10.24,4.8,0,2.88,0.64,9.28,6.72,26.56,2.88,3.2,0.64,1.28,0.32,0.96,0.32,0,1.6,42.87,0.32,0,0,3.52,5.44,1.92
22Month,0.55,10.93,0.55,8.2,0,0,1.09,0,0,1.09,2.73,2.19,21.87,3.28,0.55,4.92,0,1.09,7.65,15.31,0,8.75,0,0.55,0,1.09,0,0,0,3.28,0.55,0,0,1.64,0,0.55
