stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,24.52,20.43,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,40.86,0,0,4.09,0,0,0,0,0,0
72hpf,3.21,5.35,0,23.54,1.07,1.07,0,0,0,0,0,0,0,0,0,2.14,0,24.61,0,0,0,0,20.33,9.63,0,0,20.33,0,7.49,0,1.07,0,0
21Day,2.68,6.69,0,13.39,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,25.43,0,0,1.34,0,13.39,4.02,0,0,13.39,0,1.34,1.34,0,0,1.34
3Month,0.32,5.44,0,16.64,0,0,0.64,0,0.32,1.6,0,27.52,1.92,1.28,0.32,2.88,0.64,16,0.64,0,0.96,0.64,1.92,0,0.96,0,0.64,4.16,0,0,0.64,0.32,1.28
22Month,0,30.61,0.55,7.11,0,0,0.55,0.55,1.09,2.73,10.39,49.2,1.64,2.73,0,1.09,0.55,11.48,0,1.09,0,0,0.55,0,0,0.55,0,2.73,0.55,0.55,0,0,0.55
