stage,Cardiomyocyte,Erythrocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,4.09,0,0,0,0,4.09,20.43,0
72hpf,1.07,0,0,2.14,0,5.35,6.42,1.07
21Day,0,2.68,1.34,8.03,1.34,4.02,1.34,2.68
