stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
3Month,0,0.32,1.92,0.64,0.32,5.44,1.6,0.96,2.88,1.28,0,0.32,0.32,0,0.32,0.32,47.67,8,2.88
22Month,0.55,0,1.64,1.09,0.55,6.01,1.09,0,0.55,0.55,0.55,0,0,0,0,0,17.49,0,0.55
