stage,Epithelial_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,12.26,0
72hpf,1.07,0,0,8.56,0,0
21Day,1.34,1.34,0,0,0,1.34
3Month,0,0,0.32,0,0,0
