stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,2.14,1.07,0,0,7.49,4.28,3.21,2.14,4.28,0,1.07,0
21Day,2.68,0,1.34,0,0,1.34,0,0,0,17.4,0,0,34.8,2.68,1.34,16.06,0,0,0,0
3Month,0.32,0.32,2.88,7.68,0.32,0,0,0.64,0,2.56,0.64,0,2.24,0.32,0.32,2.88,0,0.32,0.32,4.48
22Month,0,0,0,8.75,4.92,0,0.55,0,0,2.73,0,0.55,1.64,0,0,3.28,0,0.55,0.55,0
