stage,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte
72hpf,2.14,2.14,19.26,1.07,1.07,2.14
21Day,0,0,6.69,0,0,1.34
