stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,40.65,0,0,0
21Day,0,0,0,0,0,0,4.02,0,0,0
3Month,0,1.28,0.32,0.96,0.32,1.92,24.96,0,0,1.28
22Month,0.55,0,0,8.2,0,0,0,1.09,0.55,1.09
