stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,5.35,1.07,1.07,0,0,0,0,73.82,3.21,0,2.14,2.14,0,0,9.63,1.07,0,0,0
21Day,1.34,1.34,4.02,0,2.68,0,0,0,0,0,0,1.34,0,0,1.34,0,2.68,0,0,1.34,0,57.56,4.02,0,1.34,2.68,0,0,8.03,0,0,0,0
3Month,0,0.32,5.12,0,0,0.96,1.28,0.32,0,66.23,0.32,0,3.2,0,1.28,0.64,0.32,0.32,0,0.32,1.6,0.32,0,0.64,0.64,0,2.56,7.68,0.64,0,0.32,6.4,0.32
22Month,0,0,0.55,0,0,0.55,0,0.55,1.09,20.23,0,0,0,0,0,0,0.55,0,1.64,0.55,0,0,0.55,1.09,0,0,0,6.01,0.55,0,0,0,0
