stage,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,12.26,0,24.52,0
72hpf,0,0,0,0,14.98,0,0
21Day,0,0,0,1.34,6.69,0,0
3Month,0.32,0.32,0.32,0.32,0,0,0.32
