stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,12.26,0,0,0,0,20.43,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,18.19,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,0,4.28,0,0,0,0,37.44,26.74,0,0,0,7.49,0,0,18.19,0,0,0,0,0,0
21Day,0,0,8.03,9.37,1.34,0,0,0,0,0,4.02,0,1.34,0,0,2.68,0,8.03,0,0,0,0,29.45,16.06,0,0,0,2.68,0,4.02,2.68,1.34,1.34,0,0,0,0
3Month,0,0.64,54.39,0.32,0,0.64,0.32,0.32,4.8,0,22.72,1.6,0,2.88,1.6,1.92,2.88,6.08,0.32,0,0.32,0.96,12.16,0.64,2.56,0.32,0,0.32,1.92,29.12,2.56,0,0,1.28,1.6,3.84,1.6
22Month,0,0.55,28.97,0,0,1.09,0.55,1.09,8.2,1.09,100.04,3.28,0,3.83,0,0.55,1.09,2.19,0,3.83,0.55,0,4.37,0.55,3.28,0.55,0.55,0,0.55,9.84,0.55,0,0,2.19,0,0,1.64
