stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0,0,2.68,1.34,0,0,0
3Month,0,0.96,0,2.24,0,0.32,0.32,0.64,0.64,0.32,0,0.96,0.32,0.32,0,0,0,0.96,34.55,0.32,0,20.48,0.64
22Month,0.55,0,1.09,1.64,0,0.55,0,0.55,0.55,0,0.55,0.55,0,0,0.55,0.55,18.59,0,14.21,0,0.55,0,0
