stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,0,0,22.47,0,0,0,0,0,0,2.14,4.28,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,8.03,1.34,0,0,0,0,0,0,1.34,4.02,0,10.71,2.68,1.34,0,0,0,0,1.34,0,0,0,1.34,1.34,1.34,0,0,0,0,1.34
3Month,1.28,1.6,39.35,0,0.64,9.6,6.08,0,33.27,4.48,2.56,47.35,1.6,6.4,9.28,4.48,1.92,0,2.88,2.88,1.6,0,0.96,0.64,0,0.32,4.8,0,0,2.24,0.64,13.76
22Month,2.73,2.19,12.57,0,0,2.73,11.48,2.19,44.83,4.37,2.73,29.52,0,2.73,7.11,3.28,0.55,1.64,2.19,0,0,0,0.55,1.64,0,0,4.37,0.55,0.55,0,0,7.11
