stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Osteoblast,Smooth_muscle_cell,T_cell
72hpf,1.07,1.07,0,0,0,0,0,0,11.77,0,1.07,0,0
21Day,4.02,0,0,0,1.34,0,0,1.34,2.68,0,0,0,2.68
3Month,2.88,0,0.32,0,0.64,0.64,1.6,0.32,0.32,0.32,0,0.32,1.92
22Month,0,0,0,0.55,0,0,0,0,0,0,0,0,0.55
