stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,2.14,0,0,0,0,0,0,0,0,2.14,1.07,2.14,0,0,0,0,150.84,5.35,1.07,3.21,4.28,0,0,1.07,0,1.07,0,0,0,0
21Day,1.34,1.34,0,4.02,4.02,1.34,0,0,0,0,0,1.34,0,0,0,5.35,0,0,1.34,0,100.39,1.34,2.68,0,1.34,6.69,0,2.68,1.34,1.34,1.34,0,0,0
3Month,0,0,0,1.92,0,0.32,0.96,0.64,2.88,0.96,0.32,1.6,0.32,0.64,0.32,1.28,0.32,0,0.64,0.32,14.72,0,25.92,0.32,0,0.32,0.64,0.32,0,0,0,0,0.32,0.32
22Month,0,1.09,0.55,1.09,0,0.55,0,3.28,14.76,1.09,0,4.92,0,0.55,1.64,0.55,0,1.09,0,0,14.76,0,12.03,0.55,0,0.55,14.76,2.19,0,0,0,0.55,0,1.64
