stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,1.07,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,2.56,2.24,1855.39,0.32,2.56,8,4.8,7.36,0,27.52,12.8,1.6,17.92,12.8,17.6,8.96,9.28,1.28,0,3.84,3.2,6.4,0,3.2,2.24,0,3.84,10.88,0,1.92,7.04,9.6
22Month,1.64,1.09,0,293.55,0.55,1.64,0.55,0,7.11,0.55,15.31,4.37,1.09,7.11,0,3.28,5.47,4.92,0.55,1.64,1.09,0,9.29,0,0,1.64,0.55,0,3.28,0.55,0,0,0
