stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,2.14,22.47,0,0,0,0,0,0,2.14,0,0,0,0,0,0
21Day,0,0,0,16.06,2.68,0,0,0,1.34,0,1.34,0,2.68,25.43,0,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0.64,0.64,0,155.18,0,0.64,27.2,0,2.56,0.96,0,2.56,12.16,5.44,0.96,1.28,0.32,0.64,0.32,1.6,0,1.6,2.24,0,0.32,0.96,1.6
22Month,0,0.55,1.09,73.8,0,1.64,10.93,1.64,6.01,2.19,0,0.55,10.93,3.28,0,2.19,0,0.55,0,0.55,0,0,1.09,0.55,0,0,0
