stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,4.09,16.35,0,0,0,0,0,0,0
72hpf,4.28,2.14,2.14,0,0,0,0,0,2.14,0,1.07,250.33,1.07,3.21,0,0,4.28,0,0,0
21Day,1.34,0,1.34,0,0,1.34,2.68,0,2.68,1.34,10.71,140.55,5.35,4.02,1.34,0,0,2.68,5.35,2.68
22Month,0,0,0,0.55,3.83,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0
