stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,32.69,0,0,0,0,0,0,20.43,0,0,0,0,0,245.18,0,0,0,0,0,0,28.6,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,43.86,3.21,2.14,0,0,0,0,0,0,0,0,0,6.42,176.52,0,3.21,0,0,0,34.23,10.7,0,3.21,0,0,2.14,0,0,0,0
21Day,1.34,0,0,208.81,0,6.69,0,1.34,0,0,0,2.68,0,1.34,1.34,10.71,72.28,2.68,4.02,0,6.69,0,2.68,1.34,0,5.35,2.68,1.34,0,0,0,0,0
3Month,0.32,0.32,0.64,130.54,0.32,0,0.32,0,0.64,1.92,0,7.36,2.24,0.96,3.84,9.92,17.92,3.84,1.92,0.32,24.96,0.32,7.04,0,0,0,0.64,6.08,0,0,0.32,20.16,2.24
22Month,0.55,0,0,65.6,0,0,0.55,0,0.55,2.19,0,24.05,1.64,0,1.64,6.01,1.09,3.28,1.64,0.55,6.56,0,3.83,0,1.09,0,0,6.01,0,0,0,0,0
