stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
3Month,1.28,0.32,10.24,1.92,1.92,0,19.52,2.88,0.64,4.48,0.64,0.96,1.6,1.92,0.32,0.32,1.28,0.32,0.64,0.96,3.84,20.48,0.32,0.64,648.54,1.92
22Month,0.55,0,1.09,0.55,0.55,1.09,14.21,0.55,0,2.73,0,0,0,1.09,0.55,0,0,0,0,0,0,1.09,0,0,0.55,1.64
