stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,1.34,49.53,0,0,2.68,0,0,4.02,0,4.02,5.35,2.68,0,1.34,0,0,0,2.68,0,1.34,0,1.34,0,0,1.34,0,0,0,0,0,0,0
3Month,0.32,3.52,6.08,389.38,0.32,1.28,0.96,18.56,99.5,39.67,8,6.08,162.53,3.2,5.12,14.08,8,3.2,0.64,395.46,1.92,1.92,0.64,10.24,1.28,1.28,5.12,1.28,0.32,0.32,0,1.6,3.84,7.36
22Month,1.09,0.55,7.65,238.89,0,0,0,13.67,61.23,24.05,1.09,1.09,124.64,0,1.09,3.28,6.56,0.55,1.09,176.02,0,1.64,0.55,8.75,0,0,1.09,1.09,0.55,0.55,0,0.55,0,5.47
