stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,16.05,0,0,1.07,0,3.21,0,0,0,0,0,0,0,1.07,2.14,0,17.12,0,1.07,0,0,127.31,17.12,0,5.35,0,0,0,1.07,0,0,0
21Day,13.39,0,0,13.39,1.34,1.34,0,0,0,0,0,0,0,0,5.35,0,9.37,0,0,24.09,0,45.51,0,0,0,1.34,0,1.34,0,0,0,0
3Month,1.92,1.6,0.32,29.76,0,0,2.24,1.92,0,12.48,0.64,0,1.28,0.64,21.12,0.96,4.16,0.64,0,4.8,0.32,0.96,0.64,1.6,0,0,2.56,0.64,0,3.2,47.35,0.96
22Month,0,4.92,0,19.13,0,0,0.55,2.73,1.09,31.71,1.09,0.55,3.83,0.55,9.29,1.09,2.19,0,1.09,4.92,0,2.19,0,3.28,0.55,0,1.64,2.19,0,0.55,0,1.09
