stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,61.3,0,4.09,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,2.14,0,3.21,48.14,3.21,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,1.34,5.35,12.05,4.02,1.34,1.34,2.68,0,0,1.34
3Month,0,0,0.32,0,0.64,0.32,0.32,0,0,0,0,0,0,0.32,0.32,0.32,0
