stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Smooth_muscle_cell,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,1.07,2.14,1.07,0,0,4.28,0,0
21Day,0,0,0,0,0,0,0,2.68,0,2.68,0,0,1.34,0,0,0
3Month,0,0.32,0,0,0.32,0.32,0.32,1.92,0.32,0,0,0,0,0,0.32,0.32
