stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,1.07,1.07,0,1.07,2.14,0,0,2.14,0
21Day,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0,1.34,2.68
3Month,0.32,0.64,0,0.32,0.32,0.32,0,0,0,0,0,0,0,0,0.32
22Month,0,0,0,0,0,2.73,0,0,0.55,0,0,0,0.55,0,0
