stage,Epithelial_cell,Ionocyte,Neural_cell,Neural_progenitor_cell,Retinal_cell,Retinal_cone_cell
72hpf,0,0,1.07,1.07,0,1.07
21Day,1.34,1.34,1.34,0,4.02,17.4
