stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,24.52,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,4.09,24.52,0,0,0,0,20.43,179.8,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,4.28,3.21,0,2.14,0,1.07,1.07,0,18.19,21.4,0,7.49,0,0,2.14,2.14,0,0
21Day,2.68,0,1.34,12.05,0,0,0,0,4.02,0,0,0,0,2.68,0,0,0,0,8.03,0,0,1.34,0,6.69,2.68,0,5.35,1.34,0,1.34,1.34,0,1.34
3Month,0,0.32,0,3.2,0.32,0,0.32,0.64,0.64,0.32,0,1.28,0,0,2.88,0.64,0.32,0.32,0,0.32,0,0.32,0.32,0,0,0.32,0,0,1.6,0,0,0.32,0.96
22Month,0,0,0,1.64,0,0,0,1.64,1.09,1.09,0,12.03,0.55,1.64,1.64,0,1.09,0.55,2.19,0,0,0,0,0,0,1.09,0,0,0.55,0,0,0,0
