stage,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,4.09,4.09,0
72hpf,0,0,0,1.07,0,8.56
21Day,0,0,1.34,0,1.34,1.34
22Month,1.09,0.55,0,0,0,0
