stage,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,2.14,0,1.07,0,0,1.07,9.63,0,0,1.07,0,0,0
21Day,6.69,0,0,0,0,0,1.34,0,0,1.34,0,4.02,2.68,1.34,0,0,1.34,0,0
3Month,1.6,0,0,0,0.32,0.32,0,0.32,1.92,0,0.32,0,0,0,0.64,0,0,0.64,1.28
22Month,1.64,0.55,3.28,0.55,0,0,0,0.55,3.28,0,0,0,2.73,0.55,0,0,0,0,0
