stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,1.07,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0
21Day,0,0,2.68,2.68,2.68,0,1.34,0,0,0,0,0,33.46,1.34,0,0,1.34,0,0,0,0,4.02,1.34,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0.32,0,6.08,8.32,0,0.32,0,5.76,2.24,0.96,8.32,2.56,382.98,0.96,4.8,2.56,0.64,0.32,0,0.64,22.4,0,0.64,0.64,0,0,2.24,9.6,0,0,0,0.64,5.76,2.88
22Month,1.09,2.19,5.47,6.01,0,0.55,0,10.93,3.83,5.47,33.89,1.09,401.24,0,1.09,0,1.64,0,0.55,2.19,0.55,0,1.09,0,0.55,0,0,2.73,0.55,0.55,0,0.55,0,0
