stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,8.17,4.09,61.3,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,4.28,1.07,0,0,0,0,0,0,2.14,3.21,1.07,2.14,403.31,9.63,1.07,6.42,0,0,1.07,1.07,0,0,0
21Day,0,0,4.02,0,6.69,0,0,0,1.34,0,0,5.35,0,0,112.44,5.35,0,0,1.34,4.02,0,0,0,0,0
3Month,0,0,5.12,0,0,1.28,0.64,2.24,0.32,0.96,0.32,0.96,0.64,0.32,3.84,0,0,0,0,29.12,0,0,0.64,19.2,1.28
22Month,0,0,0,0,0,0,1.64,2.19,0,0.55,0,0,1.09,0,0.55,0,0,0,0,49.75,0,0,0,0,0
