stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,T_cell
21Day,0,2.68,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0,0.96,0,0,0.32,0,0,11.84,0,0,0,0,0,0.32,5.44
22Month,0.55,0,0.55,0.55,4.37,0.55,0.55,9.84,0.55,0,0.55,1.09,0.55,0,3.83
