stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1393.46,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,8.17,4.09,4.09,0,0,0,4.09,40.86,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,185.07,0,0,1.07,2.14,0,0,0,0,0,0,0,0,0,0,2.14,0,3.21,0,0,0,10.7,9.63,0,0,0,1.07,0,1.07,0,0,0,0,0
21Day,331.96,0,1.34,4.02,0,1.34,0,0,1.34,0,0,0,1.34,0,0,5.35,0,6.69,0,0,0,2.68,1.34,0,0,2.68,0,2.68,0,1.34,1.34,0,0,4.02
3Month,4.8,0.32,0.64,4.16,0,0,0.32,0.96,0.32,0,0,4.16,2.56,1.28,0.64,0,0.64,3.2,0,1.28,0.32,0.32,0,0.32,0,0,0.32,85.43,0,0,0,1.28,15.04,0.64
22Month,0.55,0,0,1.64,0,0,0.55,0,1.64,2.19,0,4.37,0,2.19,0.55,0,0,1.09,0.55,0.55,0,0,0.55,0.55,1.09,0,0,33.35,0,0,0,0,0,0
