stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,4.09,0,0,0,4.09,0,40.86,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,10.7,0,0,0,0,0,0,0,0,0,2.14,2.14,0,0,0,0,0,0,5.35,11.77,0,1.07,0,0,22.47,0,0,0,0
21Day,0,0,2.68,0,4.02,2.68,0,0,0,0,0,0,1.34,4.02,0,1.34,0,10.71,0,0,1.34,5.35,2.68,1.34,0,0,0,0,9.37,0,0,0,0
3Month,0,0.96,2.56,44.79,2.56,0,0.32,0.96,3.2,0,8.64,5.44,0.32,13.76,6.72,3.2,0.96,6.4,0.96,0,2.24,375.62,0,0,0.64,1.28,2.24,1.28,0.96,0,1.92,7.68,3.52
22Month,0,0,3.83,21.32,1.09,0,0,0,0.55,1.09,16.4,0,0,21.32,0.55,0.55,0.55,3.28,0,0.55,1.64,36.08,0.55,0,0,0,0,0.55,0.55,1.09,0,0,1.09
