stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,4.09,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0,3.21,0,0
21Day,0,0,0,1.34,0,0,0,0,1.34,0,0,0,1.34,1.34,0,0
3Month,0.32,0.64,0.32,1.28,2.56,0.64,0.64,0.32,0.32,0.32,0,0,14.72,0,48.95,0.32
22Month,0,0,0,0,0,0,0.55,0,0,0,0,0,1.09,0,0,0
