stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,73.56,0,0,0,0,0,4.09,130.76,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,2.14,3.21,198.98,0,0,0,0,10.7,6.42,0,0,11.77,0,0,2.14,0,0,0,0,0,0
21Day,2.68,1.34,0,9.37,5.35,0,0,0,0,0,1.34,0,6.69,0,4.02,2.68,5.35,1033.35,0,0,1.34,0,10.71,2.68,0,0,80.31,8.03,1.34,1.34,4.02,2.68,1.34,0,0,1.34
3Month,0,0,0.96,8,0,0,0.32,1.28,0.96,0,12.8,3.52,0.64,3.52,0,1.28,11.84,39.99,0.96,0,1.6,1.28,0.32,0,1.28,0.96,9.28,0.96,88.31,0,0,0,0,32.95,123.5,2.24
22Month,0,1.09,0,1.09,0,0.55,0,1.09,1.09,0,19.13,0.55,2.73,6.01,0.55,0.55,10.93,2.73,0,0.55,0.55,0,0,0,3.28,0.55,0,0.55,21.32,0,0,0,0,1.09,1.09,0
