stage,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,20.43,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0
3Month,0,0.96,0,0.32,0.64,0,0,0,0.32
22Month,3.28,2.19,0.55,0,0,0,0,5.47,0
