stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,25.67,1.07,0,0,0,0,0,0,0,0,0,11.77,57.77,1.07,2.14,0,0,0,1.07,4.28,1.07,0,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,0,1.34,91.02,0,1.34,0,1.34,0,0,0,0,2.68,4.02,4.02,80.31,0,1.34,0,0,4.02,0,4.02,2.68,0,0,1.34,0,0,0,1.34,1.34,0,0,0
3Month,0,0.64,2.88,82.23,0,0,0.32,11.52,1.28,0,53.11,0.32,0,52.15,1.92,40.95,4.48,5.12,0.64,0.32,1.92,0.64,0.32,0,1.92,0,0,0.64,4.16,0,0,0,0.96,1.28,2.56
22Month,0,0,7.11,46.47,0,0,0,14.21,3.83,4.92,149.24,1.09,0,43.19,0.55,18.59,1.09,7.11,0,2.19,0.55,0,0,0,0,1.09,0.55,0,1.64,0,0,0,0.55,0,0
