stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,8.17,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,32.69,0,0,0,0,20.43,326.91,0,0,0,4.09,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,3.21,2.14,0,9.63,0,4.28,0,0,25.67,17.12,0,0,0,2.14,0,0,4.28,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,2.68,0,0,0,1.34,0,0,0,0,0,0,0,6.69,1.34,0,0,0,1.34,1.34,0,0,0,0,0,0,0
3Month,0.64,0.96,0.96,8.64,0,0,0.32,0.32,0.32,0.32,0,0,193.57,2.56,0.32,4.48,0.64,1.6,0.64,10.88,3.52,0.32,1.92,0.64,1.6,0,0.32,0.32,0,0,3.84,89.59,0.32,0,0.32,2.24,9.28,1.6
22Month,1.09,3.28,2.19,10.39,0,6.01,0.55,0.55,2.19,7.65,3.28,0,2517.34,2.19,2.19,14.76,0,0.55,5.47,14.21,0.55,25.69,2.73,0,2.19,1.09,1.09,2.19,2.19,0.55,4.37,6.56,1.09,0.55,0,0.55,0,0
