stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,0,0,0,0,0,0,3.21,1.07,0,0,0,2.14,2.14,0,0,0,0
21Day,0,5.35,0,1.34,2.68,0,0,0,0,2.68,2.68,0,0,0,0,1.34,2.68,0,0,0
3Month,0.32,4.16,0,0,0.32,0.32,0,0,0.32,1.28,1.28,0.32,0.64,0.32,0,0,0,0.96,0.64,14.4
22Month,0,0.55,0.55,0,0,0,2.19,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0
