stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,57.21,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,3.21,0,0,0,0,0,0,0,2.14,12.84,0,11.77,0,0,29.95,4.28,1.07,36.37,0,1.07,0,0,0,1.07,0,0
21Day,8.03,1.34,4.02,123.15,4.02,10.71,2.68,0,0,0,1.34,1.34,10.71,40.16,10.71,121.81,25.43,0,88.34,16.06,1.34,53.54,6.69,2.68,2.68,10.71,21.42,12.05,0,2.68
3Month,0,0.32,0,8.32,0,0,0,0,1.28,0.64,0,1.28,0.64,2.24,0.64,2.88,0,0.32,0.32,0,0,0,0.64,0.96,0,0,0,0,0.32,0.64
22Month,0,0,0,0.55,0,0,0.55,1.64,8.2,0.55,0.55,0,0,0.55,0.55,3.83,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0
