stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,8.17,61.3,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,6.42,0,4.28,0,0,0,9.63,17.12,1.07,0,9.63,0,0,0,0,2.14,0,0,0
21Day,10.71,0,0,2.68,0,1.34,0,0,0,0,0,0,5.35,0,0,0,0,17.4,0,0,0,14.72,10.71,0,0,13.39,1.34,2.68,6.69,1.34,0,0,0,0
3Month,0.64,0.64,1.28,4.8,0.32,0.64,0,3.2,1.92,0.32,5.44,0.96,0,0.96,0.96,1.28,0.96,19.52,10.56,0,1.92,0,0.32,0.32,1.6,0.32,1.28,68.47,0.96,0,0.32,1.6,2.24,0.64
22Month,1.09,1.64,0,2.73,0.55,0,0.55,3.28,3.83,1.64,18.59,0,2.73,6.56,0.55,1.09,8.75,114.25,7.65,1.09,4.37,1.64,0.55,1.64,8.75,0.55,0,91.84,0.55,0,0,0.55,0,0
