stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,3.21,0,0,1.07,0,7.49,0,0,0,0
21Day,4.02,0,0,0,0,0,0,0,0,20.08,0,0,0,2.68,6.69,0,0,1.34,0
3Month,0,0.32,0.32,0,1.28,0.32,0.32,0.32,0.32,0.64,0,0.64,0,0,0,0.32,0.32,0,0.64
22Month,0,1.09,0,0.55,2.19,0,0,0,0,1.09,0.55,0,0,0.55,0,0,0,0,0
