stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0.32,0.32,3.84,0.64,1.6,0.96,0.64,0.32,0.96,1.28,0.96,0.32,0.32,0.64,0,0.32,0.32,55.99,0.96,23.36,1.28
22Month,0,0,0,0,0,0,0.55,0,0,0,0,0,0.55,0,0,0,0,0,11.48,0,0,0
