stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,5.35,0,0,0
3Month,0.32,0.32,2.24,0.32,0.96,0.32,3.52,0.32,0.32,0.96,0.64,1.28,0.32,0,0.32,0.64,22.72,0.64,13.76,0.32
22Month,0,0,0,0,0,0.55,1.64,0,1.09,0,0,0.55,0,0.55,0,0,14.21,0,0,0
