stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0
21Day,0,1.34,0,0,0,1.34,0,0,0,0
3Month,0,0.32,0,0,0.64,0,0,0.64,0,0
22Month,0.55,1.09,0.55,11.48,1.09,0,0.55,0,0,0.55
