stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0
21Day,0,2.68,0,0,0,0,0,0,8.03,0,0,4.02,5.35,2.68,0,0,0,1.34,5.35,0,0,1.34
3Month,17.6,0.32,0.32,4.48,1.28,1.28,0.64,0.96,0.96,0,1.6,0,0,0.32,0.96,40.31,0.32,0,0,1.28,6.08,0
22Month,9.29,0,0,6.56,0,1.09,1.09,0.55,1.09,0.55,0,0,0,0,0,15.31,0,1.09,0,5.47,0,0
