stage,Erythrocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,32.69
72hpf,0,0,1.07,14.98,7.49
21Day,1.34,1.34,0,12.05,1.34
