stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,24.52,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,16.05,1.07,0,0,0,0,0,0,0,0,0,0,0,0,7.49,62.05,0,1.07,0,0,0,0,5.35,0,0,0,0,1.07,0,1.07,0,0,0,0
21Day,0,0,0,151.25,0,6.69,0,1.34,0,0,0,0,0,0,0,1.34,4.02,4.02,45.51,2.68,1.34,0,0,2.68,0,8.03,1.34,0,1.34,0,1.34,1.34,4.02,1.34,0,0,0
3Month,0,0.64,1.28,145.58,0.32,0,0.32,0.32,0.32,6.4,1.6,0,0,12.8,1.92,0.64,16.32,2.56,25.6,5.12,2.24,0.32,0,1.28,0.96,0.64,0,0.32,0,0,0,2.24,13.44,0,0.64,1.28,1.92
22Month,0,3.83,1.64,26.24,0,0,0.55,1.64,0,3.28,0.55,0.55,0,32.25,1.64,0.55,12.03,1.64,4.92,2.19,1.09,0,1.64,1.09,0,1.09,0,0.55,0,0.55,0,0.55,1.09,0,0,0,1.09
