stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Smooth_muscle_cell,T_cell
24hpf,8.17,24.52,0,28.6,0,0,0,0,4.09,4.09,0,0,0,61.3,20.43,69.47,0,28.6,404.55,0,28.6,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,26.74,0,0,0,14.98,1.07,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,2.68,0,0
22Month,0,3.83,0.55,1.09,0.55,0.55,1.64,0.55,0,13.67,2.19,0.55,0.55,0,1.09,2.73,1.09,0,0,47.56,0,0.55,1.09
