stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0
21Day,10.71,1.34,5.35,5.35,0,1.34,0,0,0,0,0,34.8,0,1.34,0,5.35,4.02,0,0,1.34,0,4.02,0,0,1.34,0,0,0,0,0,0,0,85.67
3Month,0.32,0,6.72,0,1.28,0,0,5.76,0,4.48,2.24,0,2.24,0.32,1.28,7.36,2.88,0.64,0,1.28,0.96,0.64,0,0,0,1.28,1.92,0.32,0,0,0.96,2.56,234.52
22Month,0,3.28,4.37,0,0.55,0,0.55,32.25,2.73,25.15,4.37,3.28,2.73,0,1.64,57.95,6.56,0,0.55,1.09,0,0.55,0.55,0.55,0,0.55,1.09,0.55,0.55,0.55,0,0,280.43
