stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0,0,0,0,0
21Day,0,1.34,0,0,1.34,0,0,0,2.68,0,0,1.34,4.02,0,0,2.68,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0
3Month,0,0.64,0.32,2.56,0,0,0,0.96,90.55,0,2.24,41.59,3.52,1.92,0.96,18.24,0.32,0.64,0.32,1.28,0.32,0,0.32,0.32,0,1.6,1.28,0,0.96,4.48
22Month,0.55,0.55,0,1.64,0,1.09,0.55,0.55,225.22,0.55,18.04,21.32,8.75,1.09,0.55,26.24,1.64,0.55,0,0,0,0,0,1.09,0.55,0,0,0.55,0,1.09
