stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,57.21,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,10.7,0,0,0,0,0,0,0,0,0,0,0,2.14,0,5.35,0,1.07,0,35.3,1.07,0,0,0,7.49,0,0,1.07,0,0,0,0,0
21Day,0,2.68,0,48.19,1.34,1.34,0,0,0,0,0,1.34,14.72,0,0,20.08,2.68,0,0,1.34,0,21.42,1.34,0,2.68,0,0,4.02,0,1.34,1.34,2.68,0,0,0
3Month,2.24,8,0,105.26,0,0,3.2,2.56,2.24,0,3.84,0.96,0.64,2.24,0.96,86.71,1.92,2.24,1.6,0.32,0.32,0.96,0,0.32,5.12,0,0,0.96,0.64,0,0.32,0,1.28,10.56,1.92
22Month,0,9.84,1.09,30.61,0,0,6.01,0.55,0.55,0,14.21,0,0,0,0,44.83,0,1.09,0,0,0,0,0,0.55,9.29,0.55,1.09,0,0.55,0,0,0,0,0,1.09
