stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Neural_cell
24hpf,0,0,0,0,0,0,4.09,0
72hpf,0,0,0,0,0,0,0,1.07
21Day,0,0,0,0,0,0,0,1.34
3Month,0.64,0.32,0,0,0,1.92,0,0
22Month,0.55,1.09,1.09,2.73,0.55,0.55,0.55,0
