stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,8.17,57.21,12.26,0,0,0,0,0,28.6,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,1.07,0,2.14,2.14,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,1.6,1.6,5.44,35.51,0.32,5.76,0.96,1.28,7.04,8.32,0,1847.07,13.76,0.64,31.04,2.24,13.76,35.83,13.44,2.56,4.48,0.32,11.84,2.24,0,1.6,3.2,0,0.64,22.4,0.32,59.83,0.96,0,3.2,50.55,6.4
22Month,0.55,2.19,1.09,8.2,0.55,0.55,0,0,1.64,18.04,4.92,1177.49,6.01,0.55,19.13,0,0.55,25.15,5.47,0,39.36,1.09,0,0.55,0,1.09,3.28,1.64,0,1.09,0,2.19,1.09,2.19,0,0.55,3.28
