stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,1.07,0,0,1.07,0,0,0
21Day,1.34,1.34,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0,2.24,4.16,0.64,1.28,0.64,0.32,0.32,0.32,0,1.6,2.56,0.64
22Month,0,0,2.19,0,0,0,0.55,0,0,0,1.09,0,0
