stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,2.14,0,0,0,0,0,0,0
21Day,4.02,0,0,13.39,1.34,0,0,0,0,1.34,2.68,5.35,0,0,2.68,6.69,6.69,0,4.02,0,8.03,1.34,0,0,4.02,0,0,0,2.68
3Month,0,2.56,0.32,7.36,0,1.6,1.6,6.4,0,7.68,8.64,0.96,3.2,1.92,1.6,8.96,5.12,1.6,0.32,1.6,0.64,0,0.64,0.32,0.64,0.64,3.2,1.28,3.84
22Month,0,4.92,0,1.64,0,0.55,0,9.29,0.55,15.85,1.09,0,4.92,0,0.55,12.57,4.92,0,2.19,0,0.55,0,1.64,0,0,1.09,0.55,0,1.09
