stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,8.17,40.86,0,0,0,0,0,8.17,0,0,0,0,0,0,0,4.09,0,0
72hpf,1.07,7.49,0,4.28,0,0,0,1.07,0,2.14,13.91,1.07,2.14,1.07,0,16.05,11.77,0,0,2.14,0,0,3.21,1.07,6.42,0,0
21Day,0,9.37,1.34,0,0,0,0,1.34,0,0,2.68,1.34,4.02,0,0,10.71,2.68,0,0,0,0,1.34,4.02,1.34,10.71,0,0
3Month,0,3.2,0,0,0,0.32,0.32,0,0.32,0.96,0.32,0,0.64,0,0.32,0.32,0.32,0.64,0,0,0.64,9.6,0.96,0,0,0.96,0.64
22Month,0,0,0,0,0.55,2.73,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,3.83,1.64,0,0,0,0
