stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,4.09,0,0,4.09,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,5.35,0,63.12,2.14,0,0,0,2.14,0,1.07,0,0,0
21Day,2.68,0,0,0,1.34,1.34,1.34,0,0,0,0,0,1.34,0,4.02,0,0,1.34,0,0,0,24.09,0,2.68,1.34,0,1.34,1.34,0,0,0,0
3Month,0,4.8,5.44,0.32,0,0,3.84,1.28,0,0,4.48,13.12,0,1.28,2.88,0.96,1.28,5.12,0.32,0,3.2,7.68,0.32,1.92,0,2.56,0,0.64,0,0.32,0.32,0.32
22Month,0,2.19,1.64,0,0,0,1.64,0,0.55,0,8.2,0.55,0,0.55,0.55,0,0.55,1.09,0,0,1.64,1.09,0,0.55,0.55,0,0.55,0,0,0,0,0
