stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,4.09,0,4.09,0,0,4.09,0,0,0,49.04,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,2.14,44.93,0,2.14,0,5.35,0,0,1.07,0,3.21,3.21,1.07,39.58,0,0,0,10.7,3.21,0,0,1.07,0,0,0,0,0,0,0,1.07
21Day,4.02,0,0,5.35,0,18.74,0,1.34,0,8.03,0,12.05,8.03,0,1.34,2.68,1.34,9.37,0,0,0,2.68,0,0,0,0,0,0,0,2.68,0,0,0,6.69
3Month,0.32,0.32,0.32,7.36,0,0,2.24,0.96,0.64,124.78,10.56,107.18,0.64,2.56,0.32,0,3.84,2.88,0,0.96,0.32,0.64,0,0.32,0.32,0,0.96,2.24,0.64,0,0.32,0.32,0.96,12.8
22Month,0.55,1.09,0.55,4.37,0,0,1.64,0.55,0,100.58,45.37,96.76,2.73,4.92,0,0,4.37,1.09,0.55,0,0,0,0,0.55,0,0,0,0.55,0,0,0,0,0,6.56
