stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,16.35,36.78,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,3.21,1.07,0,0,0,0,0,0,0,0,0,4.28,1.07,4.28,0,0,1.07,21.4,1.07,0,3.21,1.07,1.07,0,1.07,0,0
21Day,1.34,1.34,13.39,0,1.34,1.34,0,2.68,0,2.68,1.34,0,0,9.37,1.34,4.02,0,1.34,0,8.03,2.68,1.34,5.35,1.34,0,1.34,0,0,1.34
3Month,0,0,0.64,0,0,0,0.32,0,6.4,0.32,0,0,0,0,0.32,0,0.32,0,0.32,0,0,0,0.32,0,0,0,0,0.32,0
22Month,0,0.55,0,0,0,0,0,4.92,8.2,1.09,0.55,0.55,0.55,0,1.64,1.09,0,0.55,0.55,0,0,0,0.55,0,0,0,0,0,0.55
