stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,16.35,24.52,0,0,0,0,4.09,134.85,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,2.14,0,0,0,0,36.37,2.14,0,0,2.14,0,0,0,0,0,0,0
21Day,1.34,0,0,0,2.68,0,0,0,0,1.34,0,0,0,0,0,1.34,13.39,0,0,0,0,14.72,4.02,0,0,4.02,1.34,0,0,0,0,0,0
3Month,0,1.28,13.12,0,0.32,0.32,0,6.4,0.32,5.12,4.48,3.2,1.92,2.88,3.52,38.07,12.8,2.88,0,0.96,0.96,0,0.32,4.8,3.52,1.28,1.28,96.62,0,0.32,1.28,8.64,4.16
22Month,0,4.92,8.2,0,0.55,0,0.55,13.12,8.2,17.49,4.37,4.92,3.28,0,0.55,41,22.96,2.19,2.19,1.09,0,1.64,1.09,4.92,7.65,0.55,0.55,35.53,0.55,0,0.55,0,2.19
