stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,61.3,0,0,0,0,0,0,0,8.17,65.38,0,4.09,0,0,0,49.04,0,0,0,0,0,0,0
72hpf,1.07,1.07,1.07,25.67,0,0,0,0,0,0,1.07,11.77,92,0,8.56,0,0,6.42,6.42,0,3.21,0,0,0,0,0
21Day,1.34,0,0,100.39,1.34,0,0,0,0,1.34,0,0,25.43,0,2.68,1.34,0,4.02,2.68,0,9.37,1.34,0,0,0,0
3Month,0,0,0,51.19,0,0.96,0,2.56,0.64,0,0.64,1.6,6.72,0.64,0.96,0.32,0.32,0,0,0.32,0.32,0.64,0.96,0.32,0.96,0.32
22Month,0,0,0,0,0,0,0.55,0,0.55,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
